"","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license","cleaning_fee","neigh_simp","price_3_nights"
"1",11879,"Sunny room close to beach and parks",44764,"Steven",NA,"Unincorporated Areas",36.98048,-121.88129,"Private room",91,3,85,2021-11-23,0.61,3,180,30,NA,1.82,"Unincorporated Areas",274.82
"2",31721,"Dog Friendly Private Pleasure Point Beach Cottage",136376,"Annie",NA,"City of Capitola",36.95849,-121.97207,"Entire home/apt",196,4,253,2021-12-21,2.28,2,350,35,NA,3.92,"City of Capitola",591.92
"3",49520,"Guest Cottage with shared bath",225721,"Christine",NA,"Unincorporated Areas",36.96325,-121.82091,"Private room",95,30,145,2018-09-15,1.13,1,365,0,NA,1.9,"Unincorporated Areas",286.9
"4",57031,"Sunny in nature quiet location",44764,"Steven",NA,"Unincorporated Areas",36.98111,-121.88124,"Entire home/apt",155,10,1,2018-08-22,0.02,3,44,0,NA,3.1,"Unincorporated Areas",468.1
"5",70829,"Master Bedroom w/ Soaker Tub",360285,"Maisie",NA,"City of Santa Cruz",36.97789,-122.02757,"Private room",94,3,446,2021-12-23,3.36,1,149,55,NA,1.88,"City of Santa Cruz",283.88
"6",264450,"Walk to everything!  Surf Colony Modern Surf Shack",1387567,"Brit",NA,"City of Santa Cruz",36.96075,-122.02605,"Entire home/apt",266,3,149,2021-12-28,1.21,1,216,31,NA,5.32,"City of Santa Cruz",803.32
"7",454433,"10 MINUTES NORTH OF SANTA CRUZ",2094237,"Michael",NA,"Unincorporated Areas",37.0107,-122.19401,"Entire home/apt",250,7,352,2021-01-29,3.01,1,332,1,NA,5,"Unincorporated Areas",755
"8",519543,"Santa Cruz Private Bedroom and Bath",2547484,"Justin",NA,"City of Santa Cruz",36.97576,-122.01361,"Private room",149,30,62,2016-11-07,0.53,1,0,0,NA,2.98,"City of Santa Cruz",449.98
"9",604260,"Bali-by-the-Beach...time for you!",15867956,"Surf City",NA,"Unincorporated Areas",36.96833,-121.90516,"Entire home/apt",386,3,93,2021-12-26,0.85,43,321,20,NA,7.72,"Unincorporated Areas",1165.72
"10",719285,"Relaxing Ocean View",3711123,"Lynn",NA,"Unincorporated Areas",36.97577,-121.91584,"Entire home/apt",332,4,151,2021-10-10,1.34,1,181,11,NA,6.64,"Unincorporated Areas",1002.64
