"",".rownames","price_3_nights","neigh_simp","number_of_reviews","reviews_per_month",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid","obs_num"
"1","1",274.82,"Unincorporated Areas",85,0.61,1077.59039582999,-802.770395829988,0.00815923646863921,843.928891523986,0.00125104270914143,-0.955229904448679,1
"2","2",591.92,"City of Capitola",253,2.28,751.760555310959,-159.840555310959,0.045602265970497,844.771143158433,0.000299381810001365,-0.193891967757687,2
"3","3",286.9,"Unincorporated Areas",145,1.13,953.840373745618,-666.940373745618,0.0134048623517728,844.197878197881,0.00143377915000365,-0.795710449672026,3
"4","4",468.1,"Unincorporated Areas",1,0.02,1252.81460659042,-784.714606590419,0.0067360868630238,843.969184583624,0.000984069255977051,-0.933075843986948,4
"5","5",283.88,"City of Santa Cruz",446,3.36,144.922424650718,138.957575349282,0.102499570475759,844.778244749029,0.000575096860303664,0.173821075720888,5
"6","6",803.32,"City of Santa Cruz",149,1.21,763.550630005601,39.7693699943987,0.0146812532399378,844.805147788307,5.59797412725603e-06,0.0474785969518333,6
"7","7",755,"Unincorporated Areas",352,3.01,528.133083543232,226.866916456768,0.0601788742656184,844.733312926163,0.000820766865999648,0.277323137508871,7
"8","8",449.98,"City of Santa Cruz",62,0.53,944.04678020425,-494.06678020425,0.00798603933888244,844.47475125146,0.000463650797686059,-0.58784699201373,8
"9","9",1165.72,"Unincorporated Areas",93,0.85,1063.53189066141,102.188109338593,0.00771728990384377,844.793096539337,1.91566039692498e-05,0.121568257068336,9
"10","10",1002.64,"Unincorporated Areas",151,1.34,943.72566440012,58.9143355998796,0.0131308540333388,844.802564290909,1.0953164903023e-05,0.0702795119705617,10
"11","11",770.1,"City of Santa Cruz",93,0.84,880.700569036618,-110.600569036618,0.00912361312849593,844.790635185719,2.66051953650107e-05,-0.131669492049867,11
"12","12",755,"Unincorporated Areas",31,0.3,1191.22570856886,-436.225708568859,0.00603550421502977,844.548581074347,0.000272093491611843,-0.518517429216465,12
"13","13",679.5,"Unincorporated Areas",37,0.36,1178.96515156867,-499.465151568673,0.00599265608777715,844.468124309889,0.000354139507729418,-0.593673869612282,13
"14","14",649.3,"City of Santa Cruz",76,0.92,919.015226628296,-269.715226628296,0.00756125582356917,844.708263040996,0.00013071374790073,-0.320841950607207,14
"15","15",317.1,"Other",44,0.43,446.322977236264,-129.222977236264,0.0923429959491241,844.782456718294,0.000438090409306208,-0.160737200235554,15
"16","16",1023.78,"City of Santa Cruz",116,1.13,834.560106264444,189.219893735556,0.010359695339642,844.758428254601,8.86440622053673e-05,0.225406089888659,16
